show_id,type,title,listed_in,description
80159586,Movie,The Most Assassinated Woman in the World,Dramas  International Movies  Thrillers,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past."
80152447,Movie,Cézanne et moi,Dramas  Independent Movies  International Movies,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys."
80221550,TV Show,Archibald's Next Big Thing,Kids' TV  TV Comedies,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!"
81154455,Movie,Article 15,Dramas  International Movies  Thrillers,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
81113928,Movie,Care of Kancharapalem,Comedies  Dramas  Independent Movies,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town."
81052275,Movie,Ee Nagaraniki Emaindi,Comedies  International Movies,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
81132437,Movie,Kill Me If You Dare,Comedies  International Movies  Romantic Movies,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
80178151,TV Show,The Spy,International TV Shows  TV Dramas  TV Thrillers,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad."
80058026,Movie,Hell and Back,Action & Adventure  Comedies  Independent Movies,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
70303496,Movie,PK,Comedies  Dramas  International Movies,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
80162141,Movie,Hard Tide,Dramas  Independent Movies,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
80095641,Movie,Elstree 1976,Documentaries,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever."
81176188,Movie,American Factory: A Conversation with the Obamas,Documentaries,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.
80159880,Movie,ATM,Comedies  International Movies  Romantic Movies,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job."
